trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
misaki_平日土_01,8:00:00,8:00:00,misa01,1,,0,1,
misaki_平日土_01,8:01:00,8:01:00,misa02,2,,0,0,
misaki_平日土_01,8:03:00,8:03:00,misa03,3,,0,0,
misaki_平日土_01,8:04:00,8:04:00,misa04,4,,0,0,
misaki_平日土_01,8:05:00,8:05:00,misa05,5,,0,0,
misaki_平日土_01,8:06:00,8:06:00,misa06,6,,0,0,
misaki_平日土_01,8:09:00,8:09:00,misa07,7,,0,0,
misaki_平日土_01,8:10:00,8:10:00,misa08,8,,0,0,
misaki_平日土_01,8:12:00,8:12:00,misa09,9,,0,0,
misaki_平日土_01,8:14:00,8:14:00,misa10,10,,0,0,
misaki_平日土_01,8:16:00,8:16:00,misa11,11,,0,0,
misaki_平日土_01,8:19:00,8:19:00,misa12,12,,0,0,
misaki_平日土_01,8:20:00,8:20:00,misa13,13,,0,0,
misaki_平日土_01,8:21:00,8:21:00,misa14,14,,0,0,
misaki_平日土_01,8:23:00,8:23:00,misa15,15,,0,0,
misaki_平日土_01,8:25:00,8:25:00,misa16,16,,0,0,
misaki_平日土_01,8:28:00,8:28:00,misa17,17,,0,0,
misaki_平日土_01,8:30:00,8:30:00,misa18,18,,1,0,
oya0_平日土_01,6:29:00,6:29:00,oya01,1,,0,1,
oya0_平日土_01,6:30:00,6:30:00,oya02,2,,0,0,
oya0_平日土_01,6:31:00,6:31:00,oya03,3,,0,0,
oya0_平日土_01,6:31:00,6:31:00,oya04,4,,0,0,
oya0_平日土_01,6:34:00,6:34:00,oya05,5,,0,0,
oya0_平日土_01,6:36:00,6:36:00,oya06,6,,0,0,
oya0_平日土_01,6:37:00,6:37:00,oya07,7,,0,0,
oya0_平日土_01,6:38:00,6:38:00,oya08,8,,0,0,
oya0_平日土_01,6:39:00,6:39:00,oya09,9,,0,0,
oya0_平日土_01,6:42:00,6:42:00,oya10,10,,0,0,
